"Isolate","level 1","level 2"
"4238_1#1",1,1
"4238_1#10",1,1
"4238_1#11",2,3
"4238_1#12",3,5
"4238_1#4",2,3
"4238_1#5",2,3
"4238_1#6",2,3
"4238_1#7",1,1
"4238_1#8",1,1
"4330_2#1",4,9
"4330_2#10",3,5
"4330_2#11",3,5
"4330_2#12",3,6
"4330_2#2",5,12
"4330_2#3",2,3
"4330_2#4",3,5
"4330_2#5",4,9
"4330_2#6",3,6
"4330_2#7",3,6
"4330_2#8",5,12
"4330_2#9",3,6
"4330_8#1",1,1
"4330_8#10",2,3
"4330_8#11",2,3
"4330_8#12",2,3
"4330_8#2",6,14
"4330_8#3",3,5
"4330_8#4",1,1
"4330_8#6",6,15
"4330_8#7",3,7
"4330_8#8",6,16
"4330_8#9",2,3
"4340_5#1",1,1
"4340_5#10",6,17
"4340_5#11",3,7
"4340_5#12",7,23
"4340_5#2",6,14
"4340_5#3",3,7
"4340_5#4",3,7
"4340_5#5",8,26
"4340_5#6",6,18
"4340_5#8",6,19
"4340_5#9",4,9
"4340_6#1",1,1
"4340_6#11",6,17
"4340_6#12",3,5
"4340_6#2",2,3
"4340_6#3",2,4
"4340_6#4",2,4
"4340_6#6",2,3
"4340_6#7",3,5
"4340_6#8",6,14
"4340_6#9",7,24
"4350_1#1",3,8
"4350_1#10",3,8
"4350_1#11",5,12
"4350_1#12",3,8
"4350_1#2",3,8
"4350_1#3",9,28
"4350_1#4",1,1
"4350_1#5",3,8
"4350_1#6",1,1
"4350_1#7",1,1
"4350_1#8",3,8
"4350_1#9",2,3
"4350_2#1",6,18
"4350_2#10",5,12
"4350_2#11",3,5
"4350_2#2",4,9
"4350_2#3",4,9
"4350_2#4",5,12
"4350_2#5",6,20
"4350_2#6",2,3
"4350_2#7",3,8
"4350_2#8",6,14
"4350_2#9",6,18
"4350_7#5",5,12
"4350_7#6",6,21
"4386_1#1",3,7
"4386_1#10",3,7
"4386_1#11",1,1
"4386_1#12",3,7
"4386_1#2",1,1
"4386_1#3",1,1
"4386_1#4",4,9
"4386_1#5",1,1
"4386_1#6",2,3
"4386_1#7",3,7
"4386_1#8",5,12
"4386_1#9",3,7
"4386_2#1",1,1
"4386_2#11",2,3
"4386_2#12",4,9
"4386_2#2",7,23
"4386_2#3",6,20
"4386_2#5",4,9
"4386_2#6",1,1
"4386_2#8",4,9
"4386_2#9",6,15
"4386_5#1",3,5
"4386_5#10",3,5
"4386_5#12",2,3
"4386_5#2",6,15
"4386_5#4",3,5
"4386_5#5",9,28
"4386_5#6",2,3
"4386_5#7",2,3
"4386_5#8",7,23
"4386_6#1",6,16
"4386_6#10",4,9
"4386_6#11",2,3
"4386_6#12",6,16
"4386_6#2",4,9
"4386_6#3",7,25
"4386_6#4",7,25
"4386_6#5",2,3
"4386_6#6",2,3
"4386_6#7",2,3
"4386_6#8",6,17
"4386_6#9",2,4
"4386_7#1",7,25
"4386_7#10",7,23
"4386_7#11",7,25
"4386_7#12",7,25
"4386_7#2",7,25
"4386_7#3",3,8
"4386_7#4",1,1
"4386_7#5",4,9
"4386_7#7",3,8
"4386_7#8",6,21
"4386_8#1",7,25
"4386_8#10",6,20
"4386_8#11",7,25
"4386_8#2",3,8
"4386_8#3",5,13
"4386_8#4",3,8
"4386_8#5",3,7
"4386_8#7",3,8
"4386_8#8",6,15
"4395_2#1",7,25
"4395_2#10",7,25
"4395_2#11",3,5
"4395_2#12",7,25
"4395_2#3",5,12
"4395_2#4",6,16
"4395_2#5",7,25
"4395_2#6",7,25
"4395_2#7",3,5
"4395_2#8",8,26
"4395_2#9",3,5
"4395_3#1",3,5
"4395_3#10",3,6
"4395_3#11",1,1
"4395_3#12",3,6
"4395_3#3",4,9
"4395_3#4",3,7
"4395_3#5",3,6
"4395_3#6",3,6
"4395_3#7",6,15
"4395_3#8",3,5
"4395_3#9",8,27
"4414_1#1",4,9
"4414_1#10",6,15
"4414_1#12",6,18
"4414_1#2",3,5
"4414_1#3",4,9
"4414_1#5",3,7
"4414_1#6",6,21
"4414_1#8",6,22
"4414_2#1",4,9
"4414_2#10",1,1
"4414_2#12",7,25
"4414_2#2",3,5
"4414_2#3",7,25
"4414_2#4",4,9
"4414_2#5",3,5
"4414_2#6",1,1
"4414_2#7",2,4
"4414_2#8",3,5
"4414_2#9",6,16
"4414_3#1",5,12
"4414_3#10",1,1
"4414_3#11",1,1
"4414_3#12",1,1
"4414_3#2",6,19
"4414_3#3",1,1
"4414_3#4",1,2
"4414_3#5",5,12
"4414_3#6",5,12
"4414_3#7",4,10
"4414_3#8",2,3
"4414_3#9",2,3
"4414_5#1",5,12
"4414_5#10",1,1
"4414_5#11",4,9
"4414_5#12",5,12
"4414_5#2",6,22
"4414_5#3",4,9
"4414_5#4",1,1
"4414_5#5",7,24
"4414_5#6",1,1
"4414_5#7",3,5
"4414_5#8",1,1
"4414_5#9",6,16
"4414_6#1",4,9
"4414_6#10",4,9
"4414_6#12",5,12
"4414_6#2",4,9
"4414_6#3",1,1
"4414_6#4",6,19
"4414_6#5",3,7
"4414_6#6",1,1
"4414_6#7",6,20
"4414_6#9",5,12
"4430_1#1",1,1
"4430_1#10",9,29
"4430_1#11",7,23
"4430_1#12",6,15
"4430_1#2",5,12
"4430_1#3",6,15
"4430_1#5",4,9
"4430_1#6",3,5
"4430_1#7",5,12
"4430_1#9",7,24
"4430_2#1",6,17
"4430_2#10",3,8
"4430_2#11",6,16
"4430_2#12",6,19
"4430_2#2",7,25
"4430_2#3",3,8
"4430_2#4",6,22
"4430_2#5",7,25
"4430_2#6",3,8
"4430_2#7",3,8
"4430_2#8",5,12
"4430_2#9",2,3
"4453_5#1",6,18
"4453_5#10",3,5
"4453_5#2",1,1
"4453_5#3",4,11
"4453_5#4",1,1
"4453_5#5",3,7
"4453_5#6",2,3
"4453_5#7",5,12
"4453_5#9",3,8
"6133_1#1",4,9
"6133_1#10",3,5
"6133_1#11",9,28
"6133_1#12",1,1
"6133_1#2",4,10
"6133_1#3",7,24
"6133_1#4",3,5
"6133_1#5",4,9
"6133_1#6",4,9
"6133_1#7",8,26
"6133_1#8",4,9
"6133_1#9",3,5
"6133_2#1",5,12
"6133_2#11",5,12
"6133_2#12",2,4
"6133_2#2",6,14
"6133_2#3",8,27
"6133_2#4",6,14
"6133_2#5",4,9
"6133_2#6",1,1
"6133_2#9",3,7
"6133_3#1",5,12
"6133_3#10",6,20
"6133_3#2",2,4
"6133_3#3",4,9
"6133_3#4",4,9
"6133_3#5",1,1
"6133_3#7",4,9
"6133_3#8",1,1
"6133_3#9",6,15
"6236_1#1",3,5
"6236_1#10",7,23
"6236_1#11",3,5
"6236_1#2",6,20
"6236_1#3",6,21
"6236_1#4",1,1
"6236_1#6",5,12
"6236_1#7",3,7
"6236_1#9",6,22
